"Date","Consignatario","Expedidor","Origen del envío","Destino del envío","Código HS","Mercancías enviadas","Goods Shipped","Gross Weight (kg)","Gross Weight (t)","Valor de las mercancías (USD)"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
"2021-01-31","Sumitomo Chemical Brasil Industria Quimica Sa","Nufarm Chemical Shanghai Co., Ltd.","SHANGHAI","PECEM","29333919","2 X 20 CONTAINERS CONTAINING 720 DRUMS OF FLUROXIPIR MEPTILICO","","19800","19.8","718000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE LP 8000 HD","","110160","110.16","7656000"
"2021-01-31","Sumitomo Chemical Brasil Industria Quimica Sa","Nufarm Chemical Shanghai Co., Ltd.","SHANGHAI","SANTOS","38089329","1 X 20 CONTAINERS CONTAINING 800 CARTONS OF NIPPON 40","","11360","11.36","51800"
"2021-01-31","Cnh Industrial Brasil Ltda","Sumitomo Construction Machinery Co., Ltd.","YOKOHAMA","SANTOS","00330000","7 X 40 CONTAINERS CONTAINING 219 PACKAGES OF PARTS FOR SUMITOMO HYDRAULIC EXCAVATOR","","86630","86.63",""
"2021-01-31","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF HDPE 35060L BLK","","123660","123.66","8594000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","1 X 40 CONTAINERS CONTAINING 1000 DRUMS OF JACARE","","24115","24.11","452000"
"2021-01-31","Albaugh Agro Brasil Ltda","African Amines (Pty) Ltd.","DURBAN","SANTOS","29211121","5 X 20´ SHIPPER OWNED ISO TANK BULK DIMETHYLAMINE 60%","","92040","92.04","1247000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","1 X 20 & 4 X 40 CONTAINERS CONTAINING 4960 DRUMS OF TRICLON","","122008","122.01","2288000"
"2021-01-31","Upl Do Brasil Ind E Com De Insumos Agropecuarios Sa","Weihai Hanfu Biochemical Medicine Co., Ltd.","SHANGHAI","SANTOS","29189912","4 X 20 CONTAINERS CONTAINING 160 BAGS OF 2,4-D TECNICO UPL","","80368","80.37","523000"
"2021-01-31","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF HDPE 35060L BLK","","124100","124.1","8625000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF LLDPE 1613.11 BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Jiangyin Suli Chemical Co., Ltd.","SHANGHAI","SANTOS","38089199","2 X 40 CONTAINERS CONTAINING 2880 CARTONS OF LOGIN(DIFLUBENZURON 25% WP)","","32256","32.26","144000"
